definition,class,root,success,ambiguous_forms,notes
it smells,become,hsv,True,,
it smells,become,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,become,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,become,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,become,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,become,hsv,True,,
it smells,become,hsv,True,,
it smells,become,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,become,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative-k,hsv,True,,
it smells,stative-k,hsv,True,,
it smells,stative-k,hsv,True,,
it smells,stative-k,hsv,True,,
it smells,stative-k,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative-k,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative-k,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative-k,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative-k,hsv,True,,
it smells,stative-k,hsv,True,,
it smells,stative-k,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative-k,hsv,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative,hsvk,True,,
it smells,stative,hsvk,True,,
it smells,stative,hsvk,True,,
it smells,stative,hsvk,True,,
it smells,stative,hsvk,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative,hsvk,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative,hsvk,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative,hsvk,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative,hsvk,True,,
it smells,stative,hsvk,True,,
it smells,stative,hsvk,True,imperative,Ambiguity implies lossy rule reversal
it smells,stative,hsvk,True,imperative,Ambiguity implies lossy rule reversal
he/she is touching him/her,hih-hil,ahsvn,True,,
he/she is drinking it up,sk-h,hsvhv,False,,
he/she is drinking it up,sk-h,hsvhv,False,,
he/she is drinking it up,sk-h,hsvhv,False,,
he/she is drinking it up,sk-h,hsvhv,False,,
he/she is drinking it up,sk-h[imp2],hsvhv,False,,
he/she is drinking it up,sk-h[imp2],hsvhv,False,,
he/she is drinking it up,sk-h[imp2],hsvhv,False,,
he/she is drinking it up,sk-h[imp2],hsvhv,False,,
he/she is drinking it up,terminative-no-o,hsv,True,,
he/she is drinking it up,terminative-no-o,hsv,True,,
he/she is drinking it up,terminative-no-o,hsv,True,,
he/she is drinking it up,terminative-no-o,hsv,True,,
he/she is holding his/her breath,cause,athawhohst,True,,
he/she is holding his/her breath,cause[perf3],athawhohst,False,,
he/she is holding his/her breath,cause[pres2],athawhohstih,False,,
he/she is holding his/her breath,cause[pres2-perf3],athawhohstih,False,,
he/she is mooring a boat,i-a,thalat,True,,
he/she is mooring a boat,i-a,thalat,True,,
he/she is mooring a boat,i-a,thalat,True,,
he/she is mooring a boat,i-a,thalat,True,,
he/she is mooring a boat,long,thal,True,,
he/she is mooring a boat,long,thal,True,,
he/she is mooring a boat,long,thal,True,,
he/she is mooring a boat,long,thal,True,,
he/she is mooring a boat,long-no-a,thala,True,,
he/she is mooring a boat,long-no-a,thala,True,,
he/she is mooring a boat,long-no-a,thala,True,,
he/she is mooring a boat,long-no-a,thala,True,,
he/she is drilling a hole,sk-s-a[inf2],thale,False,,
he/she is drilling a hole,sk-s-a[inf2],thale,False,,
he/she is drilling a hole,sk-s-a[inf2],thale,False,,
he/she is drilling a hole,sk-s-a[inf2],thale,False,,
he/she is drilling a hole,sk-s-hst,thale,False,,
he/she is drilling a hole,sk-s-hst,thale,False,,
he/she is drilling a hole,sk-s-hst,thale,False,,
he/she is drilling a hole,sk-s-hst,thale,False,,
it’s steaming,go,thanol,True,,
it’s steaming,go,athanol,True,,
it’s steaming,go,thanol,True,,
it’s steaming,go,thanol,True,imperative,Ambiguity implies lossy rule reversal
it’s steaming,go,athanol,True,imperative,Ambiguity implies lossy rule reversal
it’s steaming,go,thanol,True,imperative,Ambiguity implies lossy rule reversal
it’s steaming,go,thanol,True,,
it’s steaming,go,athanol,True,,
it’s steaming,go,thanol,True,,
it’s steaming,go,thanol,True,,
it’s steaming,go,athanol,True,,
it’s steaming,go,thanol,True,,
it’s steaming,go[pres2],thanolek,False,,
it’s steaming,go[pres2],athanolek,False,,
it’s steaming,go[pres2],thanolek,False,,
it’s steaming,go[pres2],thanolek,False,imperative,Ambiguity implies lossy rule reversal
it’s steaming,go[pres2],athanolek,False,imperative,Ambiguity implies lossy rule reversal
it’s steaming,go[pres2],thanolek,False,imperative,Ambiguity implies lossy rule reversal
it’s steaming,go[pres2],thanolek,False,,
it’s steaming,go[pres2],athanolek,False,,
it’s steaming,go[pres2],thanolek,False,,
it’s steaming,go[pres2],thanolek,False,,
it’s steaming,go[pres2],athanolek,False,,
it’s steaming,go[pres2],thanolek,False,,
it’s exploding,rev-gi,athahs,True,,
it’s exploding,rev-i,athahsk,True,,
he/she is kissing him/her,vsk-post-v,thaweto,True,,
he/she is kissing him/her,vsk-post-v,thaweto,True,,
he/she is combing someone’s hair,o,thaw,False,,
he/she is combing someone’s hair,o,thaw,False,,
he/she is combing someone’s hair,o,thaw,False,,
he/she is combing someone’s hair,o,thaw,False,,
he/she is asking for it,hih-lh[imp2],thayo,True,,
he/she is asking for it,hih-lh[imp2],thayo,True,,
he/she is asking for it,hih-lh[imp2],thayo,True,,
he/she is asking for it,hih-lh[imp2],thayo,True,,
he/she is shaking him/her,episodic[imp2],thel,True,,
he/she is shaking him/her,episodic[imp2],thel,True,,
he/she is shaking him/her,episodic[imp2],thel,True,,
he/she is shaking him/her,episodic[imp2],thel,True,,
he/she is shaking him/her,vnh-vsk,thelvh,False,,
he/she is shaking him/her,vnh-vsk,thelvh,False,,
he/she is shaking him/her,vnh-vsk,thelvh,False,,
he/she is shaking him/her,vnh-vsk,thelvh,False,,
he/she is leading him/her,go[pres2],athinh,True,,
he/she is arguing,hih-lh,athiyo,True,,
he/she is arguing,hih-lh[imp2],athiyo,False,,
he/she is racing,leaving,athohk,True,,
he/she is loaning it to him/her,cause,atholhst,True,,
he/she is loaning it to him/her,cause[perf3],atholhst,False,,
he/she is loaning it to him/her,cause[pres2],atholhstih,False,,
he/she is loaning it to him/her,cause[pres2-perf3],atholhstih,False,,
he/she is borrowing him/her,sk-s-a,athol,True,,
he/she is borrowing him/her,sk-s-a[inf2],athol,False,,
he/she is borrowing him/her,sk-s-la,athol,False,,
he/she is borrowing him/her,sk-s-hst,athol,False,,
it’s flashing,sk-s-hst,thoyaw,True,,
it’s flashing,sk-s-hst,athoyaw,True,,
it’s flashing,sk-s-hst,thoyaw,True,,
it’s flashing,sk-s-hst,thoyaw,True,imperative,Ambiguity implies lossy rule reversal
it’s flashing,sk-s-hst,athoyaw,True,imperative,Ambiguity implies lossy rule reversal
it’s flashing,sk-s-hst,thoyaw,True,imperative,Ambiguity implies lossy rule reversal
it’s flashing,sk-s-hst,thoyaw,True,,
it’s flashing,sk-s-hst,athoyaw,True,,
it’s flashing,sk-s-hst,thoyaw,True,,
it’s flashing,sk-s-hst,thoyaw,True,,
it’s flashing,sk-s-hst,athoyaw,True,,
it’s flashing,sk-s-hst,thoyaw,True,,
he/she is taking a bite,rev-e,atst,True,,
he/she is lying,vsk-post-v,atsko,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is taking a drink,rev-gi,athu,True,,
he/she is taking a drink,rev-i,athuk,True,,
he/she is promising,cause,thu'ihst,True,,
he/she is promising,cause,thu'ihst,True,,
he/she is promising,cause,thu'ihst,True,,
he/she is promising,cause,thu'ihst,True,,
he/she is promising,cause[perf3],thu'ihst,False,,
he/she is promising,cause[perf3],thu'ihst,False,,
he/she is promising,cause[perf3],thu'ihst,False,,
he/she is promising,cause[perf3],thu'ihst,False,,
he/she is promising,cause[pres2],thu'ihstih,False,,
he/she is promising,cause[pres2],thu'ihstih,False,,
he/she is promising,cause[pres2],thu'ihstih,False,,
he/she is promising,cause[pres2],thu'ihstih,False,,
he/she is promising,cause[pres2-perf3],thu'ihstih,False,,
he/she is promising,cause[pres2-perf3],thu'ihstih,False,,
he/she is promising,cause[pres2-perf3],thu'ihstih,False,,
he/she is promising,cause[pres2-perf3],thu'ihstih,False,,
he/she is listening to him/her,cause,athvtahst,True,,
he/she is listening to him/her,cause[perf3],athvtahst,False,,
he/she is listening to him/her,cause[pres2],athvtahstih,False,,
he/she is listening to him/her,cause[pres2-perf3],athvtahstih,False,,
he/she is asking him/her a question,hvsk-nh,athvtv,False,,
he/she is asking him/her a question,hvsk-nh[inf2],athvtv,True,,
he/she is asking him/her a question,episodic,athvt,True,,
he/she hears him/her,i-vka,athvk,True,,
he/she is raising him/her,cause,athvhihst,True,,
he/she is raising him/her,cause[perf3],athvhihst,False,,
he/she is raising him/her,cause[pres2],athvhihstih,False,,
he/she is raising him/her,cause[pres2-perf3],athvhihstih,False,,
he/she is growing,sk-s-hi-hihst,athv,True,,
he/she is growing,sk-s-hst[imp2],athv,False,,
he/she is growing,sk-s-hst,athv,False,,
he/she is inside,stative,ya',True,,
he/she is inside,stative,ya',True,,
he/she is inside,stative,ya',True,imperative,Ambiguity implies lossy rule reversal
he/she is inside,stative,ya',True,imperative,Ambiguity implies lossy rule reversal
he/she is inside,stative,ya',True,imperative,Ambiguity implies lossy rule reversal
he/she is inside,stative,ya',True,imperative,Ambiguity implies lossy rule reversal
he/she is distributing it,hih-lh[imp3],yatho,False,,
he/she is distributing it,hih-lh[imp3],yatho,False,,
he/she is distributing it,hih-lh[imp3-inf2],yatho,True,,
he/she is distributing it,hih-lh[imp3-inf2],yatho,True,,
he/she is waking up,become,ye,False,,
he/she is waking up,become,ye,False,,
he/she is waking up,become[inf2],ye,True,,
he/she is waking up,become[inf2],ye,True,,
he/she is waking up,become[inf4],ye,False,,
he/she is waking up,become[inf4],ye,False,,
he/she is waking him/her up,cause,ye'ihst,True,,
he/she is waking him/her up,cause,ye'ihst,True,,
he/she is waking him/her up,cause[perf3],ye'ihst,False,,
he/she is waking him/her up,cause[perf3],ye'ihst,False,,
he/she is waking him/her up,cause[pres2],ye'ihstih,False,,
he/she is waking him/her up,cause[pres2],ye'ihstih,False,,
he/she is waking him/her up,cause[pres2-perf3],ye'ihstih,False,,
he/she is waking him/her up,cause[pres2-perf3],ye'ihstih,False,,
he/she is putting him/her inside,cause,yht,True,,
he/she is putting him/her inside,cause,yht,True,,
he/she is putting him/her inside,cause[perf3],yht,False,,
he/she is putting him/her inside,cause[perf3],yht,False,,
he/she is putting him/her inside,cause[pres2],yhtih,False,,
he/she is putting him/her inside,cause[pres2],yhtih,False,,
he/she is putting him/her inside,cause[pres2-perf3],yhtih,False,,
he/she is putting him/her inside,cause[pres2-perf3],yhtih,False,,
he/she is getting it,ih-vh,y,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is getting it,ih-vh,y,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is getting it,ih-vh,ay,True,present_1sg,Ambiguity implies lossy rule reversal
it’s breaking,become,yo,False,,
it’s breaking,become,yo,False,,
it’s breaking,become[inf3],yo,True,,
it’s breaking,become[inf3],yo,True,,
he/she is shooting him/her,hih-lh[imp2],yo,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is shooting him/her,hih-lh[imp2],yo,True,present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is whittling it,hvsk-han[inf2],yol,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is whittling it,hvsk-han[inf2],yol,True,present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is greeting him/her,ih-l,yol,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is greeting him/her,ih-l,yol,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is greeting him/her,ih-l[inf2],yol,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is greeting him/her,ih-l[inf2],yol,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is breaking it,cause,yohst,True,,
he/she is breaking it,cause,yohst,True,,
he/she is breaking it,cause[perf3],yohst,False,,
he/she is breaking it,cause[perf3],yohst,False,,
he/she is breaking it,cause[pres2],yohstih,False,,
he/she is breaking it,cause[pres2],yohstih,False,,
he/she is breaking it,cause[pres2-perf3],yohstih,False,,
he/she is breaking it,cause[pres2-perf3],yohstih,False,,
he/she is destroying it,sk-h,yohsthanohv,False,,
he/she is destroying it,sk-h,yohsthanohv,False,,
he/she is destroying it,sk-h[imp2],yohsthanohv,False,,
he/she is destroying it,sk-h[imp2],yohsthanohv,False,,
he/she is destroying it,terminative,yohsthan,True,,
he/she is destroying it,terminative,yohsthan,True,,
he/she is destroying it,terminative-no-o,yohsthano,True,,
he/she is destroying it,terminative-no-o,yohsthano,True,,
he/she is entering it,hih-lh[imp2],yv,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is entering it,hih-lh[imp2],yv,True,present_1sg;imperative,Ambiguity implies lossy rule reversal
he/she is finding it,ih-vh,yvwhahth,False,,
he/she is finding it,ih-vh,yvwhahth,False,,
he/she is finding it,ih-vh[inf2],yvwhahth,True,,
he/she is finding it,ih-vh[inf2],yvwhahth,False,,
he/she is taking it somewhere,ih-vh,yvwhit,True,,
he/she is taking it somewhere,ih-vh,yvwhit,False,,
he/she is making an X,cause,atanhawhst,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause,atanhawhst,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause[perf3],atanhawhst,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause[perf3],atanhawhst,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause[pres2],atanhawhstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause[pres2],atanhawhstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause[pres2-perf3],atanhawhstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is making an X,cause[pres2-perf3],atanhawhstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is conjuring,e-aka,atanhehs,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is conjuring,e-aka,atanhehs,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is accepting him/her,become,atanilv,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is accepting him/her,become,atanilv,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause,atanvtihst,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause,atanvtihst,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause[perf3],atanvtihst,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause[perf3],atanvtihst,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause[pres2],atanvtihstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause[pres2],atanvtihstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause[pres2-perf3],atanvtihstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is dodging,cause[pres2-perf3],atanvtihstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is performing baptism,o,ataw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is performing baptism,o,ataw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is giving up,sk-s-hi-hihst,atayo,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is giving up,sk-s-hi-hihst,atayo,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is giving up,sk-s-hst[imp2],atayo,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is giving up,sk-s-hst[imp2],atayo,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is giving up,sk-s-hst,atayo,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is giving up,sk-s-hst,atayo,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is teaching,hvsk-nh,ateyho,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is teaching,hvsk-nh,ateyho,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is teaching,hvsk-nh[inf2],ateyho,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is teaching,hvsk-nh[inf2],ateyho,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is teaching,hvsk-nh[inf4],ateyho,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is teaching,hvsk-nh[inf4],ateyho,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is weeping,hih-hil,atloy,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is weeping,hih-hil,atloy,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause,kvwalht,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause,kvwalht,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause,kvwalht,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause,kvwalht,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[perf3],kvwalht,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[perf3],kvwalht,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[perf3],kvwalht,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[perf3],kvwalht,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2-perf3],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2-perf3],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2-perf3],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is setting a price,cause[pres2-perf3],kvwalhtih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is rocking,apl-active,alhihk,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is rocking,apl-active,alhihk,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is rocking,apl-active-a,alhihk,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is rocking,apl-active-a,alhihk,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause,alhilohst,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause,alhilohst,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause[perf3],alhilohst,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause[perf3],alhilohst,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause[pres2],alhilohstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause[pres2],alhilohstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause[pres2-perf3],alhilohstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is drawing a picture of him/her,cause[pres2-perf3],alhilohstih,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is conversing,apl-active-lh,alhinoh,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is conversing,apl-active-lh,alhinoh,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is jumping,go-in,alhthat,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is jumping,go-in,alhthat,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is changing clothes,v-vhs,anhawa'iy,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is changing clothes,v-vhs,anhawa'iy,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is changing clothes,change-out,anhawa',True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is changing clothes,change-out,anhawa',True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is changing clothes,change-out-flexible,anhaw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is changing clothes,change-out-flexible,anhaw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is undressing,rev-e,anhaw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is undressing,rev-e,anhaw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is putting on clothes,o,anhaw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is putting on clothes,o,anhaw,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is putting fuel into a fire,hvsk-han,hvt,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is putting fuel into a fire,hvsk-han,hvt,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tickling him/her,i-a,yhvk,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tickling him/her,i-a,yhvk,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tickling him/her,i-a,yhvk,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tickling him/her,i-a,yhvk,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh,khane,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh,khane,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh,khane,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh,khane,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh[imp2],khane,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh[imp2],khane,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh[imp2],khane,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is tying it,hih-lh[imp2],khane,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh,khaneyh,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh,khaneyh,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh,khaneyh,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh,khaneyh,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh[inf2],khaneyh,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh[inf2],khaneyh,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh[inf2],khaneyh,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is untying it,ih-vh[inf2],khaneyh,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at,khanowat,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at,khanowat,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at,khanowat,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at,khanowat,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at-weak,khanowatit,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at-weak,khanowatit,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at-weak,khanowatit,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is looking after him/her,be-at-weak,khanowatit,True,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he/she is becoming blind,become,khewa,False,present;present_1sg;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
